inci_id,inci_no,exp_no,complete,fdid,district,station,number,st_prefix,street,st_type,st_suffix,city,state,zip,typecat,inci_type,desc_incitype,resp,dur,fract_4,fract_6,fract_8,fract_12,fract_20,year,month,dow,hour,shift,alarms,app,per,mutl_aid,aid_desc,fatal_fs,inj_fs,fatal_civ,inj_civ,loss_total,det_alert,det_desc,haz_desc,ig_factors_desc,acres_burn,buildings,cause_ign,cause_desc,heat_src,heatsrc_desc,area_org,areaorg_desc,matl_type,matltype_desc,item_type,firstign_desc,sequence,factor,actions_desc,acions,rt2,durhr,cancelled,std_cost,alm_date,alm_time,alm_dttm,arv_date,arv_time,arv_dttm,app_supp,per_supp,app_ems,per_ems,app_rescue,per_rescue,app_other,per_other,prop_loss,cont_loss,haz_rel,clr_date,clr_time,clr_dttm,ctrl_date,ctrl_time,prop_use
_68B0GKIVE,21-0004303,0,TRUE,4600,1,2,L5,,Stonehedge,DR,,South Burlington,VT,5403,5,500,"Service Call, other",420,12:17:00 AM,0,0,1,1,1,2021,12,Friday,22,1,0,1,3,N,None,0,0,0,0,0,,,,,,,,,,,,,,,,,,,81,Incident command,420,0.2833,0,,12/31/2021,10:13:00 PM,12/31/2021 22:13,12/31/2021,10:20:00 PM,12/31/2021 22:20,1,3,0,0,0,0,0,0,0,0,,12/31/2021,10:30:00 PM,12/31/2021 22:30,,,429
_6881B1DT8,21-0004302,0,TRUE,4600,1,1,238,,Spear,ST,,South Burlington,VT,5403,3,321,"EMS call, excluding vehicle accident with injury",540,12:23:00 AM,0,0,0,1,1,2021,12,Friday,21,1,0,1,3,1,Mutual aid received,0,0,0,0,0,,,,,,,,,,,,,,,,,,,33,Provide advanced life support (ALS),540,0.3833,0,,12/31/2021,9:18:00 PM,12/31/2021 21:18,12/31/2021,9:27:00 PM,12/31/2021 21:27,0,0,1,3,0,0,0,0,0,0,,12/31/2021,9:41:00 PM,12/31/2021 21:41,,,419
_68819XTGX,21-0004301,0,TRUE,4600,1,2,82,,Anderson,PKY,,South Burlington,VT,5403,3,321,"EMS call, excluding vehicle accident with injury",609,12:32:10 AM,0,0,0,1,1,2021,12,Friday,20,1,0,1,3,1,Mutual aid received,0,0,0,0,0,,,,,,,,,,,,,,,,,,,81,Incident command,609,0.5361,0,,12/31/2021,8:38:00 PM,12/31/2021 20:38,12/31/2021,8:48:09 PM,12/31/2021 20:48,0,0,1,3,0,0,0,0,0,0,,12/31/2021,9:10:10 PM,12/31/2021 21:10,,,419
_68819HSEG,21-0004300,0,TRUE,4600,1,1,9,,Slocum,ST,,South Burlington,VT,5403,3,321,"EMS call, excluding vehicle accident with injury",424,12:27:05 AM,0,0,1,1,1,2021,12,Friday,20,1,0,2,5,N,None,0,0,0,0,0,,,,,,,,,,,,,,,,,,,33,Provide advanced life support (ALS),424,0.4514,0,,12/31/2021,8:33:25 PM,12/31/2021 20:33,12/31/2021,8:40:29 PM,12/31/2021 20:40,0,0,2,5,0,0,0,0,0,0,,12/31/2021,9:00:30 PM,12/31/2021 21:00,,,419
_68813ZIHV,21-0004299,0,TRUE,4600,1,1,575,,Dorset,ST,,South Burlington,VT,5403,4,451,"Biological hazard, confirmed or suspected",0,12:14:31 AM,1,1,1,1,1,2021,12,Friday,18,1,0,0,0,N,None,0,0,0,0,0,,,,,,,,,,,,,,,,,,,46,Decontaminate persons or equipment,0,0.2419,0,,12/31/2021,6:09:00 PM,12/31/2021 18:09,12/31/2021,6:09:00 PM,12/31/2021 18:09,0,0,0,0,0,0,1,2,0,0,,12/31/2021,6:23:31 PM,12/31/2021 18:23,,,888
_688120P54,21-0004298,0,TRUE,4600,1,1,1200,,Airport,DR,,South Burlington,VT,5403,3,321,"EMS call, excluding vehicle accident with injury",364,12:11:17 AM,0,0,1,1,1,2021,12,Friday,17,1,0,2,5,2,Automatic aid receiv,0,0,0,0,0,,,,,,,,,,,,,,,,,,,33,Provide advanced life support (ALS),364,0.1881,0,,12/31/2021,5:16:27 PM,12/31/2021 17:16,12/31/2021,5:22:31 PM,12/31/2021 17:22,0,0,2,5,0,0,0,0,0,0,,12/31/2021,5:27:44 PM,12/31/2021 17:27,,,171
_6880X6BZX,21-0004297,0,TRUE,4600,1,1,1775,,Williston,RD,,South Burlington,VT,5403,3,322,Motor vehicle accident with injuries,395,12:23:01 AM,0,0,1,1,1,2021,12,Friday,14,1,0,2,5,N,None,0,0,0,0,0,,,,,,,,,,,,,,,,,,,31,Provide first aid & check for injuries,395,0.3836,0,,12/31/2021,2:22:58 PM,12/31/2021 14:22,12/31/2021,2:29:33 PM,12/31/2021 14:29,0,0,2,5,0,0,0,0,0,0,,12/31/2021,2:45:59 PM,12/31/2021 14:45,,,340
_6880REHQN,21-0004296,0,TRUE,4600,1,1,1510,,Williston,RD,,South Burlington,VT,5403,3,321,"EMS call, excluding vehicle accident with injury",578,12:32:00 AM,0,0,0,1,1,2021,12,Friday,11,1,0,1,3,1,Mutual aid received,0,0,0,0,0,,,,,,,,,,,,,,,,,,,81,Incident command,578,0.5333,0,,12/31/2021,11:14:00 AM,12/31/2021 11:14,12/31/2021,11:23:38 AM,12/31/2021 11:23,0,0,1,3,0,0,0,0,0,0,,12/31/2021,11:46:00 AM,12/31/2021 11:46,,,429
_6880OTFJO,21-0004295,0,TRUE,4600,1,1,55,,Stonington,CR,,South Burlington,VT,5403,3,321,"EMS call, excluding vehicle accident with injury",289,12:17:15 AM,0,1,1,1,1,2021,12,Friday,11,1,0,2,5,N,None,0,0,0,0,0,,,,,,,,,,,,,,,,,,,33,Provide advanced life support (ALS),289,0.2875,0,,12/31/2021,11:01:30 AM,12/31/2021 11:01,12/31/2021,11:06:19 AM,12/31/2021 11:06,0,0,2,5,0,0,0,0,0,0,,12/31/2021,11:18:45 AM,12/31/2021 11:18,,,429
_6880OPH7H,21-0004294,0,TRUE,4600,1,1,575,,Dorset,ST,,South Burlington,VT,5403,4,451,"Biological hazard, confirmed or suspected",0,12:16:00 AM,1,1,1,1,1,2021,12,Friday,10,1,0,0,0,N,None,0,0,0,0,0,,,,,,,,,,,,,,,,,,,46,Decontaminate persons or equipment,0,0.2667,0,,12/31/2021,10:38:00 AM,12/31/2021 10:38,12/31/2021,10:38:00 AM,12/31/2021 10:38,0,0,0,0,0,0,1,2,0,0,,12/31/2021,10:54:00 AM,12/31/2021 10:54,,,888
